Name,Overview URL
Whole Foods Market,"https://www.glassdoor.com/Overview/Working-at-Whole-Foods-Market-EI_IE422.11,29.htm"
UC San Francisco,"https://www.glassdoor.com/Overview/Working-at-UC-San-Francisco-EI_IE32516.11,27.htm"
Microsoft,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm"
Western Digital,"https://www.glassdoor.com/Overview/Working-at-Western-Digital-EI_IE1067.11,26.htm"
Chevron,"https://www.glassdoor.com/Overview/Working-at-Chevron-EI_IE13524.11,18.htm"
Sutter Health,"https://www.glassdoor.com/Overview/Working-at-Sutter-Health-EI_IE4654.11,24.htm"
Autodesk,"https://www.glassdoor.com/Overview/Working-at-Autodesk-EI_IE1155.11,19.htm"
24 Hour Fitness,"https://www.glassdoor.com/Overview/Working-at-24-Hour-Fitness-EI_IE8479.11,26.htm"
Kohl's,"https://www.glassdoor.com/Overview/Working-at-Kohl-s-EI_IE592.11,17.htm"
Blue Shield Of California,"https://www.glassdoor.com/Overview/Working-at-Blue-Shield-Of-California-EI_IE34936.11,36.htm"
Cognizant Technology Solutions,"https://www.glassdoor.com/Overview/Working-at-Cognizant-Technology-Solutions-EI_IE8014.11,41.htm"
Lockheed Martin,"https://www.glassdoor.com/Overview/Working-at-Lockheed-Martin-EI_IE404.11,26.htm"
Farmers Insurance Group,"https://www.glassdoor.com/Overview/Working-at-Farmers-Insurance-Group-EI_IE3955.11,34.htm"
Sun Microsystems,"https://www.glassdoor.com/Overview/Working-at-Sun-Microsystems-EI_IE1924.11,27.htm"
Chase,"https://www.glassdoor.com/Overview/Working-at-Chase-EI_IE690765.11,16.htm"
Disney Parks & Resorts,"https://www.glassdoor.com/Overview/Working-at-Disney-Parks-and-Resorts-EI_IE13843.11,35.htm"
Yelp,"https://www.glassdoor.com/Overview/Working-at-Yelp-EI_IE43314.11,15.htm"
In-N-Out Burger,"https://www.glassdoor.com/Overview/Working-at-In-N-Out-Burger-EI_IE14276.11,26.htm"
Trader Joe's,"https://www.glassdoor.com/Overview/Working-at-Trader-Joe-s-EI_IE5631.11,23.htm"
KPMG,"https://www.glassdoor.com/Overview/Working-at-KPMG-EI_IE2867.11,15.htm"
Chipotle,"https://www.glassdoor.com/Overview/Working-at-Chipotle-EI_IE15228.11,19.htm"
Raytheon,"https://www.glassdoor.com/Overview/Working-at-Raytheon-EI_IE561.11,19.htm"
General Atomics,"https://www.glassdoor.com/Overview/Working-at-General-Atomics-EI_IE5606.11,26.htm"
Williams-Sonoma,"https://www.glassdoor.com/Overview/Working-at-Williams-Sonoma-EI_IE2043.11,26.htm"
UnitedHealth Group,"https://www.glassdoor.com/Overview/Working-at-UnitedHealth-Group-EI_IE1991.11,29.htm"
Warner Bros.,"https://www.glassdoor.com/Overview/Working-at-Warner-Bros-EI_IE13195.11,22.htm"
Union Bank,"https://www.glassdoor.com/Overview/Working-at-Union-Bank-EI_IE1985.11,21.htm"
US Air Force,"https://www.glassdoor.com/Overview/Working-at-US-Air-Force-EI_IE41283.11,23.htm"
YMCA,"https://www.glassdoor.com/Overview/Working-at-YMCA-EI_IE3046.11,15.htm"
Electronic Arts,"https://www.glassdoor.com/Overview/Working-at-Electronic-Arts-EI_IE1628.11,26.htm"
Lyft,"https://www.glassdoor.com/Overview/Working-at-Lyft-EI_IE700614.11,15.htm"
NBCUniversal,"https://www.glassdoor.com/Overview/Working-at-NBCUniversal-EI_IE32038.11,23.htm"
Capital Group,"https://www.glassdoor.com/Overview/Working-at-Capital-Group-EI_IE9441.11,24.htm"
