Name,Industry,Overview URL,Salary URL,Benefits URL
Spokeo,Internet,"https://www.glassdoor.com/Overview/Working-at-Spokeo-EI_IE296147.11,17.htm",https://www.glassdoor.com/Salary/Spokeo-Salaries-E296147.htm,"https://www.glassdoor.com/Benefits/Spokeo-US-Benefits-EI_IE296147.0,6_IL.7,9_IN1.htm"
HoneyBook,Internet,"https://www.glassdoor.com/Overview/Working-at-HoneyBook-EI_IE982645.11,20.htm",https://www.glassdoor.com/Salary/HoneyBook-Salaries-E982645.htm,"https://www.glassdoor.com/Benefits/HoneyBook-US-Benefits-EI_IE982645.0,9_IL.10,12_IN1.htm"
IDC Technologies,IT Services,"https://www.glassdoor.com/Overview/Working-at-IDC-Technologies-EI_IE376804.11,27.htm",https://www.glassdoor.com/Salary/IDC-Technologies-Salaries-E376804.htm,"https://www.glassdoor.com/Benefits/IDC-Technologies-US-Benefits-EI_IE376804.0,16_IL.17,19_IN1.htm"
Omnicell,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Omnicell-EI_IE11909.11,19.htm",https://www.glassdoor.com/Salary/Omnicell-Salaries-E11909.htm,"https://www.glassdoor.com/Benefits/Omnicell-US-Benefits-EI_IE11909.0,8_IL.9,11_IN1.htm"
Taos,IT Services,"https://www.glassdoor.com/Overview/Working-at-Taos-EI_IE30092.11,15.htm",https://www.glassdoor.com/Salary/Taos-Salaries-E30092.htm,"https://www.glassdoor.com/Benefits/Taos-US-Benefits-EI_IE30092.0,4_IL.5,7_IN1.htm"
PagerDuty,Computer Hardware & Software,https://www.glassdoor.com/pagerduty,https://www.glassdoor.com/Salary/PagerDuty-Salaries-E704466.htm,"https://www.glassdoor.com/Benefits/PagerDuty-US-Benefits-EI_IE704466.0,9_IL.10,12_IN1.htm"
CoStar Group,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-CoStar-Group-EI_IE7901.11,23.htm",https://www.glassdoor.com/Salary/CoStar-Group-Salaries-E7901.htm,"https://www.glassdoor.com/Benefits/CoStar-Group-US-Benefits-EI_IE7901.0,12_IL.13,15_IN1.htm"
Marin Software,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Marin-Software-EI_IE113537.11,25.htm",https://www.glassdoor.com/Salary/Marin-Software-Salaries-E113537.htm,"https://www.glassdoor.com/Benefits/Marin-Software-US-Benefits-EI_IE113537.0,14_IL.15,17_IN1.htm"
MapR Technologies,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-MapR-Technologies-EI_IE434038.11,28.htm",https://www.glassdoor.com/Salary/MapR-Technologies-Salaries-E434038.htm,"https://www.glassdoor.com/Benefits/MapR-Technologies-US-Benefits-EI_IE434038.0,17_IL.18,20_IN1.htm"
Gigya,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Gigya-EI_IE349328.11,16.htm",https://www.glassdoor.com/Salary/Gigya-Salaries-E349328.htm,"https://www.glassdoor.com/Benefits/Gigya-US-Benefits-EI_IE349328.0,5_IL.6,8_IN1.htm"
