Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
"Google, Amazon, Apple",1975,"Redmond, WA",Computer Hardware & Software,Microsoft,,"https://www.glassdoor.com/Overview/Working-at-Microsoft-EI_IE1651.11,20.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MSFT),www.microsoft.com
,1970,"San Jose, CA",Computer Hardware & Software,Western Digital,,"https://www.glassdoor.com/Overview/Working-at-Western-Digital-EI_IE1067.11,26.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (WDC),jobs.wdc.com
"ExxonMobil, Shell, BP",1879,"San Ramon, CA",Oil & Gas Exploration & Production,Chevron,,"https://www.glassdoor.com/Overview/Working-at-Chevron-EI_IE13524.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CVX),www.chevron.com
,1981,"Sacramento, CA",Health Care Services & Hospitals,Sutter Health,,"https://www.glassdoor.com/Overview/Working-at-Sutter-Health-EI_IE4654.11,24.htm",,$5 to $10 billion (USD) per year,10000+ employees,Nonprofit Organization,jobs.sutterhealth.org
,1982,"San Rafael, CA",Computer Hardware & Software,Autodesk,,"https://www.glassdoor.com/Overview/Working-at-Autodesk-EI_IE1155.11,19.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (ADSK ),www.autodesk.com
,1983,"San Ramon, CA",Sports & Recreation,24 Hour Fitness,,"https://www.glassdoor.com/Overview/Working-at-24-Hour-Fitness-EI_IE8479.11,26.htm",,Unknown / Non-Applicable,10000+ employees,Company - Private,careers.24hourfitness.com
,1962,"Menomonee Falls, WI","Department, Clothing, & Shoe Stores",Kohl's,,"https://www.glassdoor.com/Overview/Working-at-Kohl-s-EI_IE592.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (KSS),kohlscareers.com/gd
,1939,"San Francisco, CA",Insurance Carriers,Blue Shield Of California,,"https://www.glassdoor.com/Overview/Working-at-Blue-Shield-Of-California-EI_IE34936.11,36.htm",,$10+ billion (USD) per year,5001 to 10000 employees,Nonprofit Organization,www.blueshieldca.com
"Tata Consultancy Services, Accenture, Capgemini",1994,"Teaneck, NJ",Unknown,Cognizant Technology Solutions,,"https://www.glassdoor.com/Overview/Working-at-Cognizant-Technology-Solutions-EI_IE8014.11,41.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CTSH),www.cognizant.com
,1995,"Bethesda, MD",Aerospace & Defense,Lockheed Martin,,"https://www.glassdoor.com/Overview/Working-at-Lockheed-Martin-EI_IE404.11,26.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (LMT),www.lockheedmartin.com
,1928,"Woodland Hills, CA",Insurance Carriers,Farmers Insurance Group,,"https://www.glassdoor.com/Overview/Working-at-Farmers-Insurance-Group-EI_IE3955.11,34.htm",,$1 to $2 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.farmers.com
"IBM, Microsoft",1982,"Santa Clara, CA",Enterprise Software & Network Solutions,Sun Microsystems,,"https://www.glassdoor.com/Overview/Working-at-Sun-Microsystems-EI_IE1924.11,27.htm",Oracle,$10+ billion (USD) per year,10000+ employees,Company - Private,www.oracle.com
,1799,"New York, NY",Banks & Credit Unions,Chase,,"https://www.glassdoor.com/Overview/Working-at-Chase-EI_IE690765.11,16.htm",J.P. Morgan,$10+ billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.chase.com
Unknown,1901,"Orlando, FL","Museums, Zoos & Amusement Parks",Disney Parks & Resorts,,"https://www.glassdoor.com/Overview/Working-at-Disney-Parks-and-Resorts-EI_IE13843.11,35.htm",,$2 to $5 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,home.disney.go.com/travel
,2004,"San Francisco, CA",Internet,Yelp,,"https://www.glassdoor.com/Overview/Working-at-Yelp-EI_IE43314.11,15.htm",,$500 million to $1 billion (USD) per year,5001 to 10000 employees,Company - Public (YELP),www.yelp.com
Unknown,1948,"Irvine, CA",Fast-Food & Quick-Service Restaurants,In-N-Out Burger,,"https://www.glassdoor.com/Overview/Working-at-In-N-Out-Burger-EI_IE14276.11,26.htm",,$100 to $500 million (USD) per year,10000+ employees,Company - Private,www.in-n-out.com
,1967,"Monrovia, CA",Grocery Stores & Supermarkets,Trader Joe's,,"https://www.glassdoor.com/Overview/Working-at-Trader-Joe-s-EI_IE5631.11,23.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,www.traderjoes.com
