Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
,2013,"San Francisco, CA",Express Delivery Services,DoorDash,,"https://www.glassdoor.com/Overview/Working-at-DoorDash-EI_IE813073.11,19.htm",,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,www.doordash.com
"Hyatt, Hilton, InterContinental Hotels Group",1927,"Bethesda, MD","Hotels, Motels, & Resorts",Marriott International,,"https://www.glassdoor.com/Overview/Working-at-Marriott-International-EI_IE7790.11,33.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MAR),www.marriott.com
,2006,"Los Angeles, CA",Video Games,Riot Games,,"https://www.glassdoor.com/Overview/Working-at-Riot-Games-EI_IE247538.11,21.htm",,Unknown / Non-Applicable,1001 to 5000 employees,Company - Private,www.riotgames.com
"McDonald's, Quiznos, Yum!",Unknown,"Milford, CT",Fast-Food & Quick-Service Restaurants,Subway,,"https://www.glassdoor.com/Overview/Working-at-Subway-EI_IE2994.11,17.htm",,$50 to $100 million (USD) per year,5001 to 10000 employees,Company - Private,www.subway.com
,2012,"San Francisco, CA",Internet,Instacart,,"https://www.glassdoor.com/Overview/Working-at-Instacart-EI_IE714486.11,20.htm",,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,www.instacart.com
,1913,"Oakland, CA",Consumer Products Manufacturing,The Clorox Company,,"https://www.glassdoor.com/Overview/Working-at-The-Clorox-Company-EI_IE158.11,29.htm",,$5 to $10 billion (USD) per year,5001 to 10000 employees,Company - Public (CLX),www.thecloroxcompany.com
,,"San Francisco, CA",Health Care Services & Hospitals,Dignity Health,,"https://www.glassdoor.com/Overview/Working-at-Dignity-Health-EI_IE2741.11,25.htm",,$10+ billion (USD) per year,10000+ employees,Nonprofit Organization,www.dignityhealth.org
Unknown,Unknown,"Riverside, CA",Colleges & Universities,UC Riverside,,"https://www.glassdoor.com/Overview/Working-at-UC-Riverside-EI_IE32531.11,23.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,College / University,www.ucr.edu
"Best Buy, Amazon",1985,"San Jose, CA",Consumer Electronics & Appliances Stores,Fry's Electronics,,"https://www.glassdoor.com/Overview/Working-at-Fry-s-Electronics-EI_IE3186.11,28.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Private,www.frys.com
Unknown,Unknown,"Santa Barbara, CA",Colleges & Universities,UC Santa Barbara,,"https://www.glassdoor.com/Overview/Working-at-UC-Santa-Barbara-EI_IE32519.11,27.htm",,$500 million to $1 billion (USD) per year,5001 to 10000 employees,College / University,www.ucsb.edu
,1812,"New York, NY",Investment Banking & Asset Management,Citi,,https://www.glassdoor.com/citi,,$10+ billion (USD) per year,10000+ employees,Company - Public (C),www.citigroup.com
,1986,"Mountain View, CA",Computer Hardware & Software,Synopsys,,"https://www.glassdoor.com/Overview/Working-at-Synopsys-EI_IE2143.11,19.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (SNPS),www.synopsys.com
Unknown,1864,"Newport Beach, CA",Real Estate,Irvine Company,,"https://www.glassdoor.com/Overview/Working-at-Irvine-Company-EI_IE2846.11,25.htm",,$50 to $100 million (USD) per year,1001 to 5000 employees,Company - Private,www.irvinecompany.com
,1963,"Philadelphia, PA","Cable, Internet & Telephone Providers",Comcast,,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CMCSA),www.comcastcareers.com
"Johnson & Johnson, Boston Scientific, Stryker",1949,"Dublin, Co. Dublin (Ireland)",Biotech & Pharmaceuticals,Medtronic,,"https://www.glassdoor.com/Overview/Working-at-Medtronic-EI_IE436.11,20.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MDT),www.medtronic.com
Unknown,1966,"Emeryville, CA",Fast-Food & Quick-Service Restaurants,Peet's,,"https://www.glassdoor.com/Overview/Working-at-Peet-s-EI_IE6860.11,17.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Private,www.peets.com
,1929,"San Francisco, CA",Colleges & Universities,Academy of Art University,,"https://www.glassdoor.com/Overview/Working-at-Academy-of-Art-University-EI_IE115340.11,36.htm",,Unknown / Non-Applicable,1001 to 5000 employees,College / University,www.academyart.edu
,1853,"San Francisco, CA","Department, Clothing, & Shoe Stores",Levi Strauss,,"https://www.glassdoor.com/Overview/Working-at-Levi-Strauss-EI_IE2872.11,23.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (LEVI),www.levistrauss.com
,1969,"Redlands, CA",Computer Hardware & Software,Esri,,"https://www.glassdoor.com/Overview/Working-at-Esri-EI_IE4043.11,15.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Private,www.esri.com
"Baxter, BD, Omnicell",2009,"San Diego, CA",Health Care Products Manufacturing,CareFusion,,"https://www.glassdoor.com/Overview/Working-at-CareFusion-EI_IE246891.11,21.htm",BD,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (CFN),www.carefusion.com
Unknown,Unknown,"San Jose, CA",Colleges & Universities,San José State University,,"https://www.glassdoor.com/Overview/Working-at-San-Jos%C3%A9-State-University-EI_IE27374.11,36.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,College / University,www.sjsu.edu
Unknown,1899,"Hoffman Estates, IL",General Merchandise & Superstores,Kmart,,"https://www.glassdoor.com/Overview/Working-at-Kmart-EI_IE370.11,16.htm",Sears,$5 to $10 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.kmartcorp.com
,1930,"Washington, DC",Federal Agencies,US Department of Veterans Affairs,,"https://www.glassdoor.com/Overview/Working-at-US-Department-of-Veterans-Affairs-EI_IE41429.11,44.htm",,Unknown / Non-Applicable,10000+ employees,Government,www.vacareers.va.gov
,1987,"Irvine, CA",Staffing & Outsourcing,Advantage Solutions,,"https://www.glassdoor.com/Overview/Working-at-Advantage-Solutions-EI_IE9287.11,30.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,www.advantagesolutions.net
,1999,"Santa Monica, CA",Computer Hardware & Software,Cornerstone OnDemand,,"https://www.glassdoor.com/Overview/Working-at-Cornerstone-OnDemand-EI_IE35131.11,31.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Public (CSOD),www.cornerstoneondemand.com
Unknown,1918,"Estero, FL",Car Rental,Hertz,,"https://www.glassdoor.com/Overview/Working-at-Hertz-EI_IE4071.11,16.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (HTZ),www.hertz.com
"Accenture, IBM, Infosys",1968,Mumbai (India),Computer Hardware & Software,Tata Consultancy Services,,"https://www.glassdoor.com/Overview/Working-at-Tata-Consultancy-Services-EI_IE13461.11,36.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (TCSN),www.tcs.com
,2003,"Scottsdale, AZ","Health, Beauty, & Fitness",Massage Envy,,"https://www.glassdoor.com/Overview/Working-at-Massage-Envy-EI_IE114803.11,23.htm",,Unknown / Non-Applicable,10000+ employees,Company - Private,Jobs.MassageEnvy.com
,1833,"San Francisco, CA",Health Care Services & Hospitals,McKesson,,"https://www.glassdoor.com/Overview/Working-at-McKesson-EI_IE434.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MCK),www.mckesson.com
,2001,"Foster City, CA",Computer Hardware & Software,Guidewire,,"https://www.glassdoor.com/Overview/Working-at-Guidewire-EI_IE122537.11,20.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Public (GWRE),www.guidewire.com
"Airbus, Boeing, Lockheed Martin",1957,"Palo Alto, CA",Aerospace & Defense,SSL,,"https://www.glassdoor.com/Overview/Working-at-SSL-EI_IE19196.11,14.htm",Maxar Technologies,$100 to $500 million (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.sslmda.com
"Universal Studios, Warner Bros.",1982,"Culver City, CA",Motion Picture Production & Distribution,Sony Pictures Entertainment,,"https://www.glassdoor.com/Overview/Working-at-Sony-Pictures-Entertainment-EI_IE7878.11,38.htm",Sony,$100 to $500 million (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.sonypictures.com
"Texas Roadhouse, Darden, BJ's Restaurants",1978,"Calabasas Hills, CA",Casual Restaurants,Cheesecake Factory,,"https://www.glassdoor.com/Overview/Working-at-Cheesecake-Factory-EI_IE2229.11,29.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (CAKE),www.thecheesecakefactory.com
,1957,"Stanford, CA",Health Care Services & Hospitals,Stanford Health Care,,"https://www.glassdoor.com/Overview/Working-at-Stanford-Health-Care-EI_IE11884.11,31.htm",,$25 to $50 million (USD) per year,5001 to 10000 employees,Company - Private,www.stanfordhealthcarecareers.com
Unknown,1995,"Compton, CA","Department, Clothing, & Shoe Stores",Ralphs,,"https://www.glassdoor.com/Overview/Working-at-Ralphs-EI_IE6867.11,17.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.ralphs.com
,2007,"Mill Valley, CA",Internet,Glassdoor,,https://www.glassdoor.com/glassdoor,,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,www.glassdoor.com
Unknown,1775,"Washington, DC",Unknown,US Army,,"https://www.glassdoor.com/Overview/Working-at-US-Army-EI_IE41322.11,18.htm",,Unknown / Non-Applicable per year,10000+ employees,Government,www.army.mil
"Hasbro, The LEGO Group, JAKKS Pacific",1945,"El Segundo, CA",Consumer Products Manufacturing,Mattel,,"https://www.glassdoor.com/Overview/Working-at-Mattel-EI_IE428.11,17.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (MAT),www.mattel.com
,1857,"Milwaukee, WI",Brokerage Services,Northwestern Mutual,,"https://www.glassdoor.com/Overview/Working-at-Northwestern-Mutual-EI_IE2919.11,30.htm",,$10+ billion (USD) per year,5001 to 10000 employees,Company - Private,www.northwesternmutual.com
,1937,"Plano, TX",Transportation Equipment Manufacturing,Toyota North America,,"https://www.glassdoor.com/Overview/Working-at-Toyota-North-America-EI_IE3544.11,31.htm",Toyota Motor Corporation,$10+ billion (USD) per year,10000+ employees,Company - Public (TM),www.toyota.com
,1999,"Santa Clara, CA",Biotech & Pharmaceuticals,Agilent Technologies,,"https://www.glassdoor.com/Overview/Working-at-Agilent-Technologies-EI_IE9711.11,31.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (A),www.agilent.com/go/careers
,1876,"Stockholm, Stockholm (Sweden)",Telecommunications Services,Ericsson-Worldwide,,"https://www.glassdoor.com/Overview/Working-at-Ericsson-Worldwide-EI_IE3472.11,29.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (ERIC),www.ericsson.com
,2001,"San Luis Obispo, CA",Computer Hardware & Software,MINDBODY,,"https://www.glassdoor.com/Overview/Working-at-MINDBODY-EI_IE319289.11,19.htm",,Unknown / Non-Applicable,1001 to 5000 employees,Company - Private,www.mindbodyonline.com
,2008,"San Francisco, CA","Hotels, Motels, & Resorts",Airbnb,,"https://www.glassdoor.com/Overview/Working-at-Airbnb-EI_IE391850.11,17.htm",,Unknown / Non-Applicable,5001 to 10000 employees,Company - Private,www.airbnb.com
,1946,"San Diego, CA",Consumer Products Manufacturing,Sony Electronics,,"https://www.glassdoor.com/Overview/Working-at-Sony-Electronics-EI_IE19973.11,27.htm",,$2 to $5 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.sonyjobs.com
"Salvation Army, City of Hope, St Vincent De Paul Store",1931,"Rockville, MD",Social Assistance,Goodwill,,"https://www.glassdoor.com/Overview/Working-at-Goodwill-EI_IE2802.11,19.htm",,$25 to $50 million (USD) per year,501 to 1000 employees,Nonprofit Organization,www.goodwill.org
,1926,"Chicago, IL",Airlines,United Airlines,,"https://www.glassdoor.com/Overview/Working-at-United-Airlines-EI_IE683.11,26.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (UAL),www.united.com
,2009,"Palo Alto, CA",Internet,Houzz,,"https://www.glassdoor.com/Overview/Working-at-Houzz-EI_IE716331.11,16.htm",,Unknown / Non-Applicable,1001 to 5000 employees,Company - Private,www.houzz.com
"Knott's Berry Farm, Six Flags",1955,"Anaheim, CA",Sports & Recreation,Disneyland Resort,,"https://www.glassdoor.com/Overview/Working-at-Disneyland-Resort-EI_IE711568.11,28.htm",Walt Disney Company,Unknown / Non-Applicable,5001 to 10000 employees,Subsidiary or Business Segment,www.disneyland.com
"Berkshire Hathaway, Progressive Insurance, Allstate",1922,"Bloomington, IL",Insurance Carriers,State Farm,,"https://www.glassdoor.com/Overview/Working-at-State-Farm-EI_IE2990.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,www.statefarm.com
"Sharp HealthCare, UC San Diego, Palomar Health",1924,"San Diego, CA",Health Care Services & Hospitals,Scripps Health,,"https://www.glassdoor.com/Overview/Working-at-Scripps-Health-EI_IE4664.11,25.htm",,$2 to $5 billion (USD) per year,10000+ employees,Nonprofit Organization,www.scripps.org
,1989,"Fort Lauderdale, FL",Computer Hardware & Software,Citrix,,"https://www.glassdoor.com/Overview/Working-at-Citrix-EI_IE5432.11,17.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (CTXS),jobs.citrix.com
,1980,"Long Beach, CA",Health Care Services & Hospitals,Molina Healthcare,,"https://www.glassdoor.com/Overview/Working-at-Molina-Healthcare-EI_IE15828.11,28.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MOH),www.molinahealthcare.com
"Unilever, Mondelez International, Amazon",1965,"Purchase, NY",Food & Beverage Manufacturing,PepsiCo,,"https://www.glassdoor.com/Overview/Working-at-PepsiCo-EI_IE522.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (PEP),www.pepsico.com
Unknown,1868,"Oakland, CA",Colleges & Universities,University of California,,"https://www.glassdoor.com/Overview/Working-at-University-of-California-EI_IE3015.11,35.htm",,$5 to $10 billion (USD) per year,10000+ employees,College / University,www.universityofcalifornia.edu
,1865,Nokia (Finland),Telecommunications Services,Nokia,,https://www.glassdoor.com/nokia,,$10+ billion (USD) per year,10000+ employees,Company - Public (NOK),www.nokia.com
Unknown,Unknown,"New York, NY",Other Retail Stores,Barnes & Noble,,"https://www.glassdoor.com/Overview/Working-at-Barnes-and-Noble-EI_IE2439.11,27.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (BKS),www.barnesandnoble.com
"DvF, bebe stores, Michael Kors",1989,"Vernon, CA",Other Retail Stores,BCBG,,"https://www.glassdoor.com/Overview/Working-at-BCBG-EI_IE8719.11,15.htm",,$100 to $500 million (USD) per year,501 to 1000 employees,Company - Public,www.bcbg.com
Unknown,1981,"Saint Louis, MO",Casual Restaurants,Panera Bread,,"https://www.glassdoor.com/Overview/Working-at-Panera-Bread-EI_IE1493.11,23.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (PNRA),www.panerabread.com
,1990,"San Diego, CA",Health Care Services & Hospitals,Sharp HealthCare,,"https://www.glassdoor.com/Overview/Working-at-Sharp-HealthCare-EI_IE19168.11,27.htm",,$1 to $2 billion (USD) per year,10000+ employees,Nonprofit Organization,careers.sharp.com
,1988,"San Jose, CA",Computer Hardware & Software,Cadence Design Systems,,"https://www.glassdoor.com/Overview/Working-at-Cadence-Design-Systems-EI_IE1217.11,33.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Company - Public (CDNS),www.cadence.com
,1902,"Los Angeles, CA",Health Care Services & Hospitals,Cedars-Sinai Medical Center,,"https://www.glassdoor.com/Overview/Working-at-Cedars-Sinai-Medical-Center-EI_IE18389.11,38.htm",,$2 to $5 billion (USD) per year,10000+ employees,Nonprofit Organization,www.cedars-sinai.org
"Toys ""R"" Us, Hobby Lobby, PetSmart",1973,"Irving, TX",Toy & Hobby Stores,Michaels,,"https://www.glassdoor.com/Overview/Working-at-Michaels-EI_IE945.11,19.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (MIK),www.michaels.com
,1948,"Dublin, Co. Dublin (Ireland)",Biotech & Pharmaceuticals,Allergan,,"https://www.glassdoor.com/Overview/Working-at-Allergan-EI_IE27.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (AGN),www.allergan.com
,1983,"San Francisco, CA","Department, Clothing, & Shoe Stores",Banana Republic,,"https://www.glassdoor.com/Overview/Working-at-Banana-Republic-EI_IE23057.11,26.htm",Gap Inc.,$500 million to $1 billion (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.bananarepublic.com
,1861,"New York, NY","Department, Clothing, & Shoe Stores",Bloomingdale's,,"https://www.glassdoor.com/Overview/Working-at-Bloomingdale-s-EI_IE14465.11,25.htm",Macy's,$1 to $2 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.bloomingdales.com
Unknown,1968,"Camp Hill, PA",Drug & Health Stores,Rite Aid,,"https://www.glassdoor.com/Overview/Working-at-Rite-Aid-EI_IE565.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (RAD),www.riteaid.com
,2006,"San Francisco, CA",Banks & Credit Unions,LendingClub,,"https://www.glassdoor.com/Overview/Working-at-LendingClub-EI_IE349061.11,22.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Public (LC),www.lendingclub.com
Unknown,Unknown,"New Albany, OH",Consumer Products Manufacturing,Hollister Co.,,"https://www.glassdoor.com/Overview/Working-at-Hollister-Co-EI_IE466037.11,23.htm",,$25 to $50 million (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.hollisterco.com
,1983,"San Jose, CA",Electrical & Electronic Manufacturing,Maxim Integrated,,"https://www.glassdoor.com/Overview/Working-at-Maxim-Integrated-EI_IE1624.11,27.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (MXIM),www.maximintegrated.com
"Samsung Semiconductor Inc (US), Micron Technology, Seagate Technology",1988,"Milpitas, CA",Consumer Products Manufacturing,SanDisk,,"https://www.glassdoor.com/Overview/Working-at-SanDisk-EI_IE4479.11,18.htm",Western Digital,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (SNDK),www.sandisk.com
"Lawrence Livermore National Laboratory, Oak Ridge National Laboratory",1931,"Berkeley, CA",State & Regional Agencies,Lawrence Berkeley Lab,,"https://www.glassdoor.com/Overview/Working-at-Lawrence-Berkeley-Lab-EI_IE35238.11,32.htm",,$100 to $500 million (USD) per year,5001 to 10000 employees,Government,www.lbl.gov
Unknown,2009,"San Francisco, CA",Computer Hardware & Software,Square,,"https://www.glassdoor.com/Overview/Working-at-Square-EI_IE422050.11,17.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Public (SQ),www.squareup.com
,1980,"Fremont, CA",Electrical & Electronic Manufacturing,Lam Research,,"https://www.glassdoor.com/Overview/Working-at-Lam-Research-EI_IE1582.11,23.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (LRCX),www.lamresearch.com
,1980,"Dublin, Co. Dublin (Ireland)",Financial Analytics & Research,Experian,,"https://www.glassdoor.com/Overview/Working-at-Experian-EI_IE42406.11,19.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (EXPN),www.experian.com
Unknown,1994,"Glendale, CA",Motion Picture Production & Distribution,DreamWorks Animation,,"https://www.glassdoor.com/Overview/Working-at-DreamWorks-Animation-EI_IE36343.11,31.htm",,$25 to $50 million (USD) per year,1001 to 5000 employees,Company - Public (DWA),www.dreamworksanimation.com
,1935,"New York, NY",Investment Banking & Asset Management,Morgan Stanley,,"https://www.glassdoor.com/Overview/Working-at-Morgan-Stanley-EI_IE2282.11,25.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MS),www.morganstanley.com
Unknown,1983,"Hanover, MD",Unknown,Aerotek,,"https://www.glassdoor.com/Overview/Working-at-Aerotek-EI_IE18267.11,18.htm",,Unknown / Non-Applicable,5001 to 10000 employees,Company - Private,www.aerotek.com
,1986,"Carlsbad, CA",Telecommunications Services,Viasat,,"https://www.glassdoor.com/Overview/Working-at-Viasat-EI_IE5500.11,17.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Company - Public (VSAT),www.viasat.com
,1984,"Round Rock, TX",IT Services,Dell Technologies,,"https://www.glassdoor.com/Overview/Working-at-Dell-Technologies-EI_IE1327.11,28.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (DELL),jobs.dell.com
Unknown,2000,"Grapevine, TX",Toy & Hobby Stores,GameStop,,"https://www.glassdoor.com/Overview/Working-at-GameStop-EI_IE1162.11,19.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (GME),www.gamestop.com
,2016,"Santa Ana, CA",Security Services,Allied Universal,,"https://www.glassdoor.com/Overview/Working-at-Allied-Universal-EI_IE1352584.11,27.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Private,jobs.aus.com
,1914,"Walnut Creek, CA",Insurance Carriers,CSAA Insurance Group,,"https://www.glassdoor.com/Overview/Working-at-CSAA-Insurance-Group-EI_IE17809.11,31.htm",,Unknown / Non-Applicable,1001 to 5000 employees,Company - Private,csaa-insurance.aaa.com
Unknown,1904,"Los Angeles, CA",Motion Picture Production & Distribution,Twentieth Century Fox,,"https://www.glassdoor.com/Overview/Working-at-Twentieth-Century-Fox-EI_IE17052.11,32.htm",,$5 to $10 billion (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.foxmovies.com
Unknown,1998,"El Segundo, CA",Internet,Internet Brands,,"https://www.glassdoor.com/Overview/Working-at-Internet-Brands-EI_IE9344.11,26.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Private,www.internetbrands.com
,1866,"Arlington, VA",Food & Beverage Manufacturing,Nestlé USA,,"https://www.glassdoor.com/Overview/Working-at-Nestl%C3%A9-USA-EI_IE4283.11,21.htm",Nestlé,$10+ billion (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.nestleusa.com
,1906,"Los Angeles, CA",Real Estate,CBRE,,"https://www.glassdoor.com/Overview/Working-at-CBRE-EI_IE465818.11,15.htm",,Unknown / Non-Applicable,10000+ employees,Company - Public (CBRE),www.cbre.com
,1993,"Richmond, VA",Vehicle Dealers,CarMax,,"https://www.glassdoor.com/Overview/Working-at-CarMax-EI_IE6561.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (KMX),www.carmax.com
Unknown,1985,"San Diego, CA",Health Care Services & Hospitals,AMN Healthcare,,"https://www.glassdoor.com/Overview/Working-at-AMN-Healthcare-EI_IE13448.11,25.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Public (AMN ),www.amnhealthcare.com
,1984,"San Jose, CA",Computer Hardware & Software,Xilinx,,"https://www.glassdoor.com/Overview/Working-at-Xilinx-EI_IE2063.11,17.htm",,$2 to $5 billion (USD) per year,1001 to 5000 employees,Company - Public (XLNX),www.xilinx.com
,1945,Bengaluru (India),IT Services,Wipro,,"https://www.glassdoor.com/Overview/Working-at-Wipro-EI_IE9936.11,16.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (WIT),www.wipro.com
,1988,"New York, NY",Investment Banking & Asset Management,BlackRock,,"https://www.glassdoor.com/Overview/Working-at-BlackRock-EI_IE9331.11,20.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (BLK),careers.blackrock.com
,1983,"Rosemead, CA",Casual Restaurants,Panda Express,,"https://www.glassdoor.com/Overview/Working-at-Panda-Express-EI_IE5659.11,24.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Private,www.pandacareers.com
,2000,"Coraopolis, PA",Logistics & Supply Chain,FedEx Ground,,"https://www.glassdoor.com/Overview/Working-at-FedEx-Ground-EI_IE16846.11,23.htm",,$10+ billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.fedex.com/us/ground
"Wüsthof, Zwilling J.A. Henckels",1981,"Olean, NY",Advertising & Marketing,Vector Marketing,,"https://www.glassdoor.com/Overview/Working-at-Vector-Marketing-EI_IE26785.11,27.htm",,$100 to $500 million (USD) per year,201 to 500 employees,Subsidiary or Business Segment,www.vectormarketing.com
,1955,"Kansas City, MO",Other Retail Stores,H&R Block,,"https://www.glassdoor.com/Overview/Working-at-H-and-R-Block-EI_IE303.11,24.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (HRB),www.hrblock.com
Unknown,1889,"Santa Ana, CA",Insurance Carriers,First American,,"https://www.glassdoor.com/Overview/Working-at-First-American-EI_IE2526.11,25.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (FAF),www.firstam.com
"Staples, Amazon",1986,"Boca Raton, FL",Office Supply Stores,Office Depot,,"https://www.glassdoor.com/Overview/Working-at-Office-Depot-EI_IE1723.11,23.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (ODP),jobs.officedepot.com
Unknown,1965,"Santa Cruz, CA",Colleges & Universities,UC Santa Cruz,,"https://www.glassdoor.com/Overview/Working-at-UC-Santa-Cruz-EI_IE32517.11,24.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,College / University,www.ucsc.edu
"Stanford Health Care, Dignity Health, Sutter Health",1907,"San Francisco, CA",Health Care Services & Hospitals,UCSF Medical Center and UCSF Benioff Children’s Hospitals,,"https://www.glassdoor.com/Overview/Working-at-UCSF-Medical-Center-and-UCSF-Benioff-Children-s-Hospitals-EI_IE11851.11,68.htm",,$50 to $100 million (USD) per year,10000+ employees,Hospital,www.ucsfhealth.org
,1968,"Boston, MA",Investment Banking & Asset Management,LPL Financial,,"https://www.glassdoor.com/Overview/Working-at-LPL-Financial-EI_IE227035.11,24.htm",,$2 to $5 billion (USD) per year,1001 to 5000 employees,Company - Public (LPLA),www.lpl.com
,1984,"Irvine, CA","Health, Beauty, & Fitness",LA Fitness,,"https://www.glassdoor.com/Overview/Working-at-LA-Fitness-EI_IE309696.11,21.htm",,$50 to $100 million (USD) per year,10000+ employees,Company - Private,www.lafitness.com
Unknown,1973,"Roseville, CA",Health Care Services & Hospitals,Adventist Health,,"https://www.glassdoor.com/Overview/Working-at-Adventist-Health-EI_IE2701.11,27.htm",,Unknown / Non-Applicable,10000+ employees,Nonprofit Organization,www.adventisthealth.org
,1990,"Bolingbrook, IL",Beauty & Personal Accessories Stores,Ulta Beauty,,"https://www.glassdoor.com/Overview/Working-at-Ulta-Beauty-EI_IE9466.11,22.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (ULTA),www.ulta.com
"Chick-fil-A, McDonald's, Burger King",1951,"San Diego, CA",Fast-Food & Quick-Service Restaurants,Jack in the Box,,"https://www.glassdoor.com/Overview/Working-at-Jack-in-the-Box-EI_IE1373.11,26.htm",,$1 to $2 billion (USD) per year,10000+ employees,Company - Public (JACK),www.jackinthebox.com
,1969,"San Francisco, CA","Department, Clothing, & Shoe Stores",Gap Inc.,,"https://www.glassdoor.com/Overview/Working-at-Gap-Inc-EI_IE1070099.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (GPS),jobs.gapinc.com
,,"Los Angeles, CA",Health Care Services & Hospitals,UCLA Health,,"https://www.glassdoor.com/Overview/Working-at-UCLA-Health-EI_IE321780.11,22.htm",,Unknown / Non-Applicable,5001 to 10000 employees,Company - Public,www.uclahealthcareers.org
"Thermo Fisher Scientific, Abbott Labs, Ortho Clinical Diagnostics",1952,"Hercules, CA",Biotech & Pharmaceuticals,Bio-Rad Laboratories,,"https://www.glassdoor.com/Overview/Working-at-Bio-Rad-Laboratories-EI_IE789.11,31.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (BIO),www.bio-rad.com
