Benefits URL,Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/NuVasive-US-Benefits-EI_IE35055.0,8_IL.9,11_IN1.htm",,1997,"San Diego, CA",Biotech & Pharmaceuticals,NuVasive,,"https://www.glassdoor.com/Overview/Working-at-NuVasive-EI_IE35055.11,19.htm",,$1 to $2 billion (USD) per year,https://www.glassdoor.com/Salary/NuVasive-Salaries-E35055.htm,1001 to 5000 employees,Company - Public (NUVA),www.nuvasive.com
"https://www.glassdoor.com/Benefits/European-Wax-Center-US-Benefits-EI_IE397347.0,19_IL.20,22_IN1.htm",,2004,"Hallandale Beach, FL","Health, Beauty, & Fitness",European Wax Center,,"https://www.glassdoor.com/Overview/Working-at-European-Wax-Center-EI_IE397347.11,30.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/European-Wax-Center-Salaries-E397347.htm,5001 to 10000 employees,Franchise,www.waxcenter.com
"https://www.glassdoor.com/Benefits/Round-Table-Pizza-US-Benefits-EI_IE6324.0,17_IL.18,20_IN1.htm",Unknown,Unknown,"Concord, CA",Casual Restaurants,Round Table Pizza,,"https://www.glassdoor.com/Overview/Working-at-Round-Table-Pizza-EI_IE6324.11,28.htm",Global Franchise Group,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/Round-Table-Pizza-Salaries-E6324.htm,1001 to 5000 employees,Company - Private,www.roundtablepizza.com
"https://www.glassdoor.com/Benefits/Cymer-US-Benefits-EI_IE6222.0,5_IL.6,8_IN1.htm","General Atomics, KLA, Illumina",1984,"San Diego, CA",Computer Hardware & Software,Cymer,,"https://www.glassdoor.com/Overview/Working-at-Cymer-EI_IE6222.11,16.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Cymer-Salaries-E6222.htm,10000+ employees,Company - Public (ASML),www.asml.com
"https://www.glassdoor.com/Benefits/Sodexo-US-Benefits-EI_IE10351.0,6_IL.7,9_IN1.htm",Unknown,1966,Issy-les-Moulineaux (France),Catering & Food Service Contractors,Sodexo,,"https://www.glassdoor.com/Overview/Working-at-Sodexo-EI_IE10351.11,17.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Sodexo-Salaries-E10351.htm,10000+ employees,Company - Public (SDXAY),www.sodexo.com
"https://www.glassdoor.com/Benefits/CA-Technologies-US-Benefits-EI_IE167.0,15_IL.16,18_IN1.htm",Unknown,Unknown,"San Jose, CA",Computer Hardware & Software,CA Technologies,,"https://www.glassdoor.com/Overview/Working-at-CA-Technologies-EI_IE167.11,26.htm",Broadcom,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/CA-Technologies-Salaries-E167.htm,10000+ employees,Unknown,www.broadcom.com
"https://www.glassdoor.com/Benefits/McAfee-US-Benefits-EI_IE2244.0,6_IL.7,9_IN1.htm",,1987,"Santa Clara, CA",Computer Hardware & Software,McAfee,,"https://www.glassdoor.com/Overview/Working-at-McAfee-EI_IE2244.11,17.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/McAfee-Salaries-E2244.htm,5001 to 10000 employees,Company - Private,www.mcafee.com
"https://www.glassdoor.com/Benefits/Risk-Management-Solutions-US-Benefits-EI_IE137869.0,25_IL.26,28_IN1.htm",,1989,"Newark, CA",Enterprise Software & Network Solutions,Risk Management Solutions,,"https://www.glassdoor.com/Overview/Working-at-Risk-Management-Solutions-EI_IE137869.11,36.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Risk-Management-Solutions-Salaries-E137869.htm,1001 to 5000 employees,Company - Private,www.rms.com
"https://www.glassdoor.com/Benefits/Sungevity-US-Benefits-EI_IE277039.0,9_IL.10,12_IN1.htm","SolarCity, Sunrun, Vivint Solar",2007,"Oakland, CA",Energy,Sungevity,,"https://www.glassdoor.com/Overview/Working-at-Sungevity-EI_IE277039.11,20.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Sungevity-Salaries-E277039.htm,501 to 1000 employees,Company - Private,www.sungevity.com
"https://www.glassdoor.com/Benefits/American-Automobile-Association-AAA-US-Benefits-EI_IE2705.0,35_IL.36,38_IN1.htm",AARP,1902,"Lake Mary, FL",Membership Organizations,American Automobile Association (AAA),,"https://www.glassdoor.com/Overview/Working-at-American-Automobile-Association-AAA-EI_IE2705.11,46.htm",,$1 to $2 billion (USD) per year,https://www.glassdoor.com/Salary/American-Automobile-Association-AAA-Salaries-E2705.htm,501 to 1000 employees,Nonprofit Organization,www.aaa.com
"https://www.glassdoor.com/Benefits/Vans-US-Benefits-EI_IE881.0,4_IL.5,7_IN1.htm","NIKE, Converse, adidas",1966,"Cypress, CA",General Merchandise & Superstores,Vans,,"https://www.glassdoor.com/Overview/Working-at-Vans-EI_IE881.11,15.htm",VF,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Vans-Salaries-E881.htm,5001 to 10000 employees,Subsidiary or Business Segment,www.vans.com
"https://www.glassdoor.com/Benefits/FICO-US-Benefits-EI_IE1387.0,4_IL.5,7_IN1.htm",Unknown,1956,"San Jose, CA",Computer Hardware & Software,FICO,,"https://www.glassdoor.com/Overview/Working-at-FICO-EI_IE1387.11,15.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/FICO-Salaries-E1387.htm,1001 to 5000 employees,Company - Public (FICO),www.fico.com
"https://www.glassdoor.com/Benefits/Trulia-US-Benefits-EI_IE226815.0,6_IL.7,9_IN1.htm",,2005,"San Francisco, CA",Internet,Trulia,,"https://www.glassdoor.com/Overview/Working-at-Trulia-EI_IE226815.11,17.htm",Zillow,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Trulia-Salaries-E226815.htm,1001 to 5000 employees,Subsidiary or Business Segment,www.trulia.com
"https://www.glassdoor.com/Benefits/California-State-University-Northridge-US-Benefits-EI_IE27440.0,38_IL.39,41_IN1.htm",Unknown,1958,"Northridge, CA",Colleges & Universities,"California State University, Northridge",,"https://www.glassdoor.com/Overview/Working-at-California-State-University-Northridge-EI_IE27440.11,49.htm",,$10 to $25 million (USD) per year,https://www.glassdoor.com/Salary/California-State-University-Northridge-Salaries-E27440.htm,1001 to 5000 employees,College / University,www.csun.edu
"https://www.glassdoor.com/Benefits/New-American-Funding-US-Benefits-EI_IE402609.0,20_IL.21,23_IN1.htm",,2003,"Tustin, CA",Lending,New American Funding,,"https://www.glassdoor.com/Overview/Working-at-New-American-Funding-EI_IE402609.11,31.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/New-American-Funding-Salaries-E402609.htm,1001 to 5000 employees,Company - Private,www.newamericanfunding.com
"https://www.glassdoor.com/Benefits/Save-Mart-US-Benefits-EI_IE2968.0,9_IL.10,12_IN1.htm",Unknown,Unknown,"Modesto, CA",Food & Beverage Stores,Save Mart,,"https://www.glassdoor.com/Overview/Working-at-Save-Mart-EI_IE2968.11,20.htm",,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Save-Mart-Salaries-E2968.htm,10000+ employees,Company - Private,www.savemart.com
"https://www.glassdoor.com/Benefits/Sports-Authority-US-Benefits-EI_IE3759.0,16_IL.17,19_IN1.htm","DICK'S Sporting Goods, Target, Academy Sports + Outdoors",1928,"Englewood, CO",Sporting Goods Stores,Sports Authority,,"https://www.glassdoor.com/Overview/Working-at-Sports-Authority-EI_IE3759.11,27.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Sports-Authority-Salaries-E3759.htm,10000+ employees,Company - Private,jobs.sportsauthority.com
"https://www.glassdoor.com/Benefits/Veritas-US-Benefits-EI_IE1093041.0,7_IL.8,10_IN1.htm",,1983,"Mountain View, CA",Computer Hardware & Software,Veritas,,"https://www.glassdoor.com/Overview/Working-at-Veritas-EI_IE1093041.11,18.htm",,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Veritas-Salaries-E1093041.htm,5001 to 10000 employees,Company - Private,www.veritas.com/company/careers
